investor,year,weighted_score
Magellan Asset Management Ltd,2013,30.520843383397427
FLOSSBACH VON STORCH AG,2015,30.50939419476877
Cincinnati Specialty Underwriters Insurance CO,2015,30.474616578331858
HORAN CAPITAL MANAGEMENT,2013,30.420067914018244
"Cabot-Wellington, LLC",2015,30.347508614088717
Suncoast Equity Management,2015,30.304942974052075
Veritas Asset Management LLP,2013,30.284876807444693
BENDER ROBERT & ASSOCIATES,2015,30.24746998461736
"Forester Capital Management, LTD",2017,30.222343760361294
CADENCE BANK NA,2015,30.192128863318782
"Wilson, Kemp & Associates, Inc.",2013,30.10440731502605
MCDANIEL TERRY & CO,2017,30.101819440082156
GAMBLE JONES INVESTMENT COUNSEL,2015,30.09294497725306
"Sanders Capital, LLC",2015,30.075378471964846
"Manikay Partners, LLC",2013,30.070228765554432
Edinburgh Partners Ltd,2013,30.035187378226446
"ABRAMS CAPITAL MANAGEMENT, L.P.",2015,30.023749967064646
"Vantage Investment Partners, LLC",2015,30.01347707149504
Barbara Oil Co.,2015,29.97675575394155
HighPoint Advisor Group LLC,2017,29.95174616410303
Veritas Asset Management LLP,2017,29.940105819524163
"Pettee Investors, Inc.",2015,29.921610925482117
Theleme Partners LLP,2015,29.91158466833186
VAN STRUM & TOWNE INC.,2017,29.826899698868754
FISHMAN JAY A LTD/MI,2013,29.770934792146058
"GREATMARK INVESTMENT PARTNERS, INC.",2017,29.739215157366083
Credit Capital Investments LLC,2017,29.7130118229565
LANSDOWNE PARTNERS (UK) LLP,2017,29.672900671835368
Lindsell Train Ltd,2017,29.67062495344101
MCDONALD CAPITAL INVESTORS INC/CA,2015,29.655118873126327
PRIVATE ASSET MANAGEMENT INC,2015,29.6371270395189
"Pacifica Capital Investments, LLC",2013,29.62050960190061
HOERTKORN RICHARD CHARLES,2017,29.607922373190572
GAMBLE JONES INVESTMENT COUNSEL,2017,29.596996386062006
WOODLEY FARRA MANION PORTFOLIO MANAGEMENT INC,2015,29.590466598165804
"Blume Capital Management, Inc.",2015,29.56734721550252
TRUSTCO BANK CORP N Y,2013,29.559499564839868
Benin Management CORP,2015,29.53857368782691
"Lakeshore Capital, LLC",2015,29.501445812716828
EDGAR LOMAX CO/VA,2015,29.486471580141767
"ADAMS NATURAL RESOURCES FUND, INC.",2015,29.449258329457976
ALLEN HOLDING INC /NY,2015,29.4198976703715
MARATHON CAPITAL MANAGEMENT,2017,29.40230473588087
LaFleur & Godfrey LLC,2017,29.388103190435253
RNC CAPITAL MANAGEMENT LLC,2013,29.382136891173303
PM CAPITAL Ltd,2015,29.305303640024558
ACADEMY CAPITAL MANAGEMENT INC/TX,2013,29.300539517887987
MONTGOMERY INVESTMENT MANAGEMENT INC,2013,29.29024295259744
"Martin Investment Management, LLC",2013,29.26876732858149
