,investor,year,weighted_score
12928,"Petrus Trust Company, LTA",2013,22.500525753823066
3884,"CapWealth Advisors, LLC",2013,22.481670432614504
3591,CORTLAND ADVISERS LLC,2013,22.45641069490131
12189,PARTHENON LLC,2013,22.444770945299865
8555,"InterOcean Capital, LLC",2013,22.414270227641904
2934,CAPITAL COUNSEL LLC/NY,2013,22.408403503843026
152,ADELL HARRIMAN & CARPENTER INC,2013,22.36994754069222
3097,CEDAR ROCK CAPITAL LTD,2013,22.36593241030203
17336,WESTERN ASSET MANAGEMENT CO,2013,22.314229394830495
4130,"Charter Oak Partners Management, L.P.",2013,22.309782790159243
16202,TREES INVESTMENT COUNSEL LLC,2013,22.304869120521676
880,Algebris Investments (UK) LLP,2013,22.299772056134916
2002,"BRIGHT ROCK CAPITAL MANAGEMENT, LLC",2013,22.28655682926313
14351,SEMPER AUGUSTUS INVESTMENTS GROUP LLC,2013,22.26935118643168
4294,"Colonial Asset Management, Inc.",2013,22.24247577490685
12045,Osher Van de Voorde Investment Management,2013,22.24213880475819
1864,BOSTON FINANCIAL MANGEMENT INC /MA,2013,22.234440122478354
7394,Grisanti Capital Management LLC,2013,22.1941179063145
15092,"Sanibel Captiva Investment Advisers, Inc.",2013,22.134724152475055
3996,Carmignac Gestion,2013,22.11253318715819
8642,"Ironwood Investment Counsel, LLC",2013,22.108552006508212
17445,WILKINS INVESTMENT COUNSEL INC,2013,22.075819676286766
8397,INVERNESS COUNSEL INC /NY/,2013,22.068322340401632
17263,WEDGEWOOD PARTNERS INC,2013,22.05462176240059
3711,CULBERTSON A N & CO INC,2013,22.02275162163796
15528,"St. James Investment Company, LLC",2013,22.020287624084585
2245,"Barrett Asset Management, LLC",2013,22.017948866598303
9381,LAU ASSOCIATES LLC,2013,21.990567198381868
10799,"Mathes Company, Inc.",2013,21.978651065351865
284,ALLEGHANY CORP /DE,2013,21.936867725935567
15541,"Stack Financial Management, Inc",2013,21.926524468744514
1838,BONNESS ENTERPRISES INC,2013,21.90542211625451
7612,HENDLEY & CO INC,2013,21.83927761842607
2278,Bath Savings Trust Co,2013,21.79829994793075
5248,EAGLE CAPITAL MANAGEMENT LLC,2013,21.743436884784515
3761,CYPRESS CAPITAL MANAGEMENT LLC,2013,21.739777271326915
6747,GENERATION INVESTMENT MANAGEMENT LLP,2013,21.73879705452019
9029,KENSICO CAPITAL MANAGEMENT CORP,2013,21.711828284041722
4169,Chinook Capital Management,2013,21.669931062827384
1335,Aull & Monroe Investment Management Corp,2013,21.651586417869687
1748,BIRMINGHAM CAPITAL MANAGEMENT CO INC/AL,2013,21.645910667929535
2878,CAMPBELL NEWMAN ASSET MANAGEMENT INC,2013,21.642398218806377
10126,MARCO INVESTMENT MANAGEMENT LLC,2013,21.641224652823162
14868,STONEBRIDGE CAPITAL MANAGEMENT INC,2013,21.542757126482783
6866,GODSEY & GIBB ASSOCIATES,2013,21.538485731424075
8896,Jericho Capital Asset Management L.P.,2013,21.535251780884344
3531,"CONTRARIAN CAPITAL MANAGEMENT, L.L.C.",2013,21.525036685815603
10851,Mechanics Bank Trust Department,2013,21.51478175309973
7082,GUYASUTA INVESTMENT ADVISORS INC,2013,21.505271244403904
6381,"First City Capital Management, Inc.",2013,21.49743680267622
15654,"Stillwater Capital Advisors, LLC",2013,21.496212177480775
12852,"Penobscot Investment Management Company, Inc.",2013,21.486722227481078
6737,GENERAL ELECTRIC CO,2013,21.473752907925423
4595,Crystal Rock Capital Management,2013,21.38591718514342
7444,HABROK CAPITAL MANAGEMENT LLP,2013,21.360662303357095
1804,BLUESTEIN R H & CO,2013,21.355116008900122
17373,WESTWOOD MANAGEMENT CORP /IL/,2013,21.349898440563535
9209,"Kessler Investment Group, LLC",2013,21.33046288982526
10725,"Maple Capital Management, Inc.",2013,21.308551289294055
14019,"Route One Investment Company, L.P.",2013,21.29576182987318
350,AMALGAMATED BANK,2013,21.204314340463036
17526,WOODSTOCK CORP,2013,21.201016267771962
