,investor,year,weighted_score
14258,SCOTIA CAPITAL INC.,2013,1.5625786189315078
14394,"SFMG, LLC",2013,1.559662146672896
11208,NEW SOUTH CAPITAL MANAGEMENT INC,2013,1.5511268573590071
4445,"Cornerstone Advisors, Inc.",2013,1.5291170017477969
7076,GUGGENHEIM CAPITAL LLC,2013,1.5146311062762818
4038,Catalyst Capital Advisors LLC,2013,1.5106876184952527
6785,"GHP Investment Advisors, Inc.",2013,1.5057651516271457
1736,BINGHAM OSBORN & SCARBOROUGH LLC,2013,1.5041153875755486
431,AMG National Trust Bank,2013,1.4981760261565529
9937,Lorber David A,2013,1.4917293422191131
1450,BALASA DINVERNO & FOLTZ LLC,2013,1.483972000734729
6235,Fairpointe Capital LLC,2013,1.4436212190675295
1682,"BENJAMIN F. EDWARDS & COMPANY, INC.",2013,1.431843591115507
6606,FrontFour Capital Group LLC,2013,1.427881004614404
9683,"Lapides Asset Management, LLC",2013,1.4204017618157432
2015,BRINKER CAPITAL INC,2013,1.3756149603708754
13558,"RMB Capital Management, LLC",2013,1.348558228849443
10542,MOODY NATIONAL BANK TRUST DIVISION,2013,1.3357412209283805
9257,"Kinsight, LLC",2013,1.308449510488097
17570,Walleye Trading LLC,2013,1.282710995654234
9763,"Lenox Wealth Advisors, Inc.",2013,1.2785187100253688
14721,SPROTT INC.,2013,1.2516017332769964
9959,"Lubar & Co., Inc",2013,1.228173310383301
8520,Independent Order of Foresters,2013,1.2064960255586807
13732,"Rafferty Asset Management, LLC",2013,1.1973983889006234
8130,Hilltop Holdings Inc.,2013,1.1663631955776452
11001,"Modera Wealth Management, LLC",2013,1.160580437272419
10434,MILLENNIUM MANAGEMENT LLC,2013,1.158834167618371
17588,"Warren Averett Asset Management, LLC",2013,1.1498275147959847
17506,WOLVERINE ASSET MANAGEMENT LLC,2013,1.1274368982079122
1444,BAKER BROS. ADVISORS LP,2013,1.100574774723973
785,"Acropolis Investment Management, LLC",2013,1.0966213495439214
17537,WRAPMANAGER INC,2013,1.0819304811427537
11479,National Mutual Insurance Federation of Agricultural Cooperatives,2013,1.073389353830897
1828,BOGLE INVESTMENT MANAGEMENT L P /DE/,2013,1.0587004521820638
5966,FIRST MERCANTILE TRUST CO,2013,1.0468132876512461
8351,INR ADVISORY SERVICES LLC,2013,1.041571834376338
3016,CARDINAL CAPITAL MANAGEMENT LLC /CT,2013,1.0367027747691573
11637,"Nokota Management, LP",2013,1.0361761232845665
15415,"Smith & Howard Wealth Management, LLC",2013,1.0287418536511312
16136,"TORTOISE CAPITAL ADVISORS, L.L.C.",2013,1.0246829047182835
6429,First National Bank of Hutchinson,2013,1.0101618235538514
16955,"VISTA CAPITAL PARTNERS, INC.",2013,1.0021729463094364
6907,GOULD ASSET MANAGEMENT LLC /CA/,2013,0.9762881194509061
17663,Weiss Multi-Strategy Advisers LLC,2013,0.9674284225841052
14265,"SCOUT INVESTMENTS, INC.",2013,0.9501760959184846
816,Adirondack Research & Management Inc.,2013,0.8756503969770363
12150,PARADIGM CAPITAL MANAGEMENT INC/NY,2013,0.8594320876160781
13514,"RICE HALL JAMES & ASSOCIATES, LLC",2013,0.8254646738332898
11784,OLD DOMINION CAPITAL MANAGEMENT INC,2013,0.8113257840065459
7883,"Halbert, Hargrove/Russell LLC",2013,0.7646749987812324
17088,"Verus Financial Partners, Inc.",2013,0.7598490031493838
15600,Stelac Advisory Services LLC,2013,0.7596858172875616
2165,"Baker Avenue Asset Management, LP",2013,0.7556226019904092
16894,"VAUGHAN NELSON INVESTMENT MANAGEMENT, L.P.",2013,0.7480448256600072
4117,"Champlain Investment Partners, LLC",2013,0.7230690666613808
5093,Dean Capital Management,2013,0.7186421433312815
5333,ELLINGTON MANAGEMENT GROUP LLC,2013,0.7135766551257379
2667,"Bridgewater Associates, LP",2013,0.6893237719109884
1466,BALYASNY ASSET MANAGEMENT LLC,2013,0.679810681838372
9909,"Long Pond Capital, LP",2013,0.6477771342798979
5780,"FALCON POINT CAPITAL, LLC",2013,0.6473438159021124
7257,"Global Endowment Management, LP",2013,0.6267846978661075
11264,"NGAM ADVISORS, L.P.",2013,0.6198385278597999
4541,Creative Planning,2013,0.5817094634370611
6901,GOODWIN DANIEL L,2013,0.5561543519680021
3982,Carlson Capital Management,2013,0.5388536593895011
9583,LPL Financial LLC,2013,0.5097454061046411
9672,"Land & Buildings Investment Management, LLC",2013,0.4936104849793887
4222,"Clark Capital Management Group, Inc.",2013,0.4592818906777513
13879,"Rex Capital Advisors, LLC",2013,0.44552227529362265
1603,"BBR PARTNERS, LLC",2013,0.3869767767431665
11604,"Nicholas Investment Partners, LP",2013,0.3763808444360636
9402,"LBMC INVESTMENT ADVISORS, LLC",2013,0.2999283495358573
5921,"FIRST BUSINESS FINANCIAL SERVICES, INC.",2013,0.09906808340443216
2533,Board of Trustees of The Leland Stanford Junior University,2013,0.0592208601464632
6628,"Fund Evaluation Group, LLC",2013,0.03993909777661544
3644,CREDIT AGRICOLE S A,2013,0.0
16573,"Trellus Management Company, LLC",2013,0.0
3666,CROSSLINK CAPITAL INC,2013,0.0
4643,"Cutter & CO Brokerage, Inc.",2013,0.0
17598,Water Asset Management LLC,2013,0.0
