,investor,year,weighted_score
9614,LVM CAPITAL MANAGEMENT LTD/MI,2013,21.124037481215193
8332,INDEPENDENT INVESTORS INC,2013,21.120669945904698
6091,FORBES J M & CO LLP,2013,21.11740861608039
17104,"Violich Capital Management, Inc.",2013,21.10618691676458
3329,CLIFFORD SWAN INVESTMENT COUNSEL LLC,2013,21.07137172301079
14186,"SCHARF INVESTMENTS, LLC",2013,20.778896479278238
2552,Boltwood Capital Management,2013,20.712163039665242
10746,"Marble Harbor Investment Counsel, LLC",2013,20.70296114661406
7997,Hayek Kallen Investment Management,2013,20.672754493244767
14551,SMITH CHAS P & ASSOCIATES PA CPAS,2013,20.670649940612446
17059,Veritas Investment Management (UK) Ltd,2013,20.668998869971002
17669,"Welch Group, LLC",2013,20.658719075014698
8675,JACOBS & CO/CA,2013,20.525358135564215
13429,"REDWOOD CAPITAL MANAGEMENT, LLC",2013,20.484973435796533
10816,Matthew 25 Management Corp,2013,20.429586536044173
10416,MIDWEST INVESTMENT MANAGEMENT LLC,2013,20.407244862117537
4947,"DONALDSON CAPITAL MANAGEMENT, LLC",2013,20.385173380104217
9375,LATHROP INVESTMENT MANAGEMENT CORP,2013,20.33865427287504
9725,"Legacy Capital Partners, Inc.",2013,20.235996682736303
10592,MRJ CAPITAL INC,2013,20.222727014618695
14130,"SANTA BARBARA ASSET MANAGEMENT, LLC",2013,20.07296852513706
4868,DIAMOND HILL CAPITAL MANAGEMENT INC,2013,20.051894492361512
12705,Paragon Capital Management LLC,2013,20.047988434397706
329,ALTA CAPITAL MANAGEMENT LLC/,2013,20.025342390089968
1785,"BLB&B Advisors, LLC",2013,19.98515417608648
2928,CAPITAL CITY TRUST CO/FL,2013,19.93787078794405
6423,"First Long Island Investors, LLC",2013,19.843364278704467
14907,STUYVESANT CAPITAL MANAGEMENT,2013,19.735482689135978
7555,HARVEY INVESTMENT CO LLC,2013,19.60306062308884
2136,BURNS J W & CO INC/NY,2013,19.58556042783893
5687,Estabrook Capital Management,2013,19.562270565340434
13166,"Private Wealth Partners, LLC",2013,19.536049898128862
6889,GOLUB GROUP LLC,2013,19.50196195081174
9931,Longview Partners (Guernsey) LTD,2013,19.490173352677346
1179,Argyle Capital Management Inc.,2013,19.485215337031274
13067,Poplar Forest Capital LLC,2013,19.482093515274446
14065,SADOFF INVESTMENT MANAGEMENT LLC,2013,19.480218502699895
10939,"Minneapolis Portfolio Management Group, LLC",2013,19.435220642140035
10864,Meiji Yasuda Life Insurance Co,2013,19.420594119887692
11341,NORTH POINT PORTFOLIO MANAGERS CORP/OH,2013,19.412812004998823
16936,VIKING GLOBAL INVESTORS LP,2013,19.360900218995003
12468,PRENTISS SMITH & CO INC,2013,19.28271107042642
15204,Selkirk Management LLC,2013,19.18367600728851
14314,SECURITY NATIONAL BANK OF SO DAK,2013,19.181077633083127
9288,Korea Investment CORP,2013,19.01766755854472
2066,BRUNI J V & CO /CO,2013,19.011226301703772
16443,Theleme Partners LLP,2013,18.904800638397933
5804,FARR MILLER & WASHINGTON LLC/DC,2013,18.8974815821699
11611,"Night Owl Capital Management, LLC",2013,18.809269095791603
17139,"Vulcan Value Partners, LLC",2013,18.767315419788233
5953,FIRST INTERSTATE BANK,2013,18.73823632510114
5742,"F&V Capital Management, LLC",2013,18.576463465294964
6726,GENDELL JEFFREY L,2013,18.56708087164886
14073,SALEM CAPITAL MANAGEMENT INC,2013,18.559431563045216
4750,DAVIS SELECTED ADVISERS,2013,18.516163326760747
8663,"J.P. Marvel Investment Advisors, LLC",2013,18.481575842662497
2055,BROWN BROTHERS HARRIMAN & CO,2013,18.42919363313119
6698,GARLAND CAPITAL MANAGEMENT INC,2013,18.341175256061852
